id,name,normalized_name,food_group,food_subgroup
874,Hummus,hummus,Dishes,Levantine cuisine
772,Tostada,tostada,Dishes,Mexican cuisine
773,Quesadilla,quesadilla,Dishes,Mexican cuisine
691,Dumpling,dumpling,Dishes,Other dishes
730,Baked beans,baked beans,Dishes,Other dishes
736,Salad,salad,Dishes,Other dishes
749,Stew,stew,Dishes,Other dishes
757,Pancake,pancake,Dishes,Other dishes
760,Waffle,waffle,Dishes,Other dishes
755,Lasagna,lasagna,Dishes,Pasta dishes
784,Macaroni and cheese,macaroni and cheese,Dishes,Pasta dishes
816,Ravioli,ravioli,Dishes,Pasta dishes
774,Baked potato,baked potato,Dishes,Potato dishes
729,Hamburger,hamburger,Dishes,Sandwiches
775,Hot dog,hot dog,Dishes,Sandwiches
794,Veggie burger,veggie burger,Dishes,Sandwiches
728,Burrito,burrito,Dishes,Tex-Mex cuisine
731,Chili,chil,Dishes,Tex-Mex cuisine
732,Taco,taco,Dishes,Tex-Mex cuisine
633,Eggs,egg,Eggs,Eggs
703,Lard,lard,Fats and oils,Animal fats
872,Margarine,margarine,Fats and oils,Vegetable fats
75,Black crowberry,blackberry,Fruits,Berries
83,Strawberry,strawberr,Fruits,Berries
157,Gooseberry,gooseberr,Fruits,Berries
162,Red raspberry,red raspberr,Fruits,Berries
163,Black raspberry,black raspberr,Fruits,Berries
191,Highbush blueberry,blueberr,Fruits,Berries
192,American cranberry,cranberr,Fruits,Berries
203,Muscadine grape,muscadine grape,Fruits,Berries
374,Grape,grape,Fruits,Berries
556,Boysenberry,boysenberr,Fruits,Berries
53,Lime,lime,Fruits,Citrus
54,Lemon,lemon,Fruits,Citrus
56,"Mandarin orange (Clementine, Tangerine)",clementine,Fruits,Citrus
57,Sweet orange,orange,Fruits,Citrus
256,Grapefruit,grapefruit,Fruits,Citrus
889,Citrus,citrus,Fruits,Citrus
144,Apricot,apricot,Fruits,Drupes
145,Sweet cherry,cherr,Fruits,Drupes
147,European plum,plum,Fruits,Drupes
149,Peach,peach,Fruits,Drupes
229,Nectarine,nectarine,Fruits,Drupes
81,Fig,fig,Fruits,Other fruits
135,Date,date,Fruits,Other fruits
69,Quince,quince,Fruits,Pomes
105,Apple,apple,Fruits,Pomes
152,Pear,pear,Fruits,Pomes
292,Asian pear,asian pear,Fruits,Pomes
4,Kiwi,kiwi,Fruits,Tropical fruits
12,Pineapple,pineapple,Fruits,Tropical fruits
23,Star fruit,star fruit,Fruits,Tropical fruits
41,Papaya,papaya,Fruits,Tropical fruits
106,Mango,mango,Fruits,Tropical fruits
128,Passion fruit,passion fruit,Fruits,Tropical fruits
150,Guava,guava,Fruits,Tropical fruits
151,Pomegranate,pomegranate,Fruits,Tropical fruits
180,Tamarind,tamarind,Fruits,Tropical fruits
208,Banana,banana,Fruits,Tropical fruits
341,Coconut,coconut,Fruits,Tropical fruits
389,Jackfruit,jackfruit,Fruits,Tropical fruits
398,Kumquat,kumquat,Fruits,Tropical fruits
608,Persimmon,persimmon,Fruits,Tropical fruits
52,Watermelon,watermelon,Gourds,Gourds
65,Cucumber,cucumber,Gourds,Gourds
66,Cucurbita (Gourd),gourd,Gourds,Gourds
115,Bitter gourd,bitter gourd,Gourds,Gourds
284,Winter squash,squash,Gourds,Gourds
321,Butternut squash,butternut squash,Gourds,Gourds
330,Chayote,chayote,Gourds,Gourds
907,Green zucchini,zucchini,Gourds,Gourds
908,Yellow zucchini,yellow zucchini,Gourds,Gourds
700,Curry powder,curry,Herbs and Spices,Herb and spice mixtures
8,Garlic,garlic,Herbs and Spices,Herbs
9,Chives,chives,Herbs and Spices,Herbs
10,Lemon verbena,lemon verbena,Herbs and Spices,Herbs
13,Dill,dill,Herbs and Spices,Herbs
19,Tarragon,tarragon,Herbs and Spices,Herbs
36,Turnip,turnip,Herbs and Spices,Herbs
61,Coriander,coriander,Herbs and Spices,Herbs
70,Lemon grass,lemon grass,Herbs and Spices,Herbs
82,Fennel,fennel,Herbs and Spices,Herbs
89,Hyssop,hyssop,Herbs and Spices,Herbs
100,Lovage,lovage,Herbs and Spices,Herbs
109,Mentha (Mint),mint,Herbs and Spices,Herbs
112,Spearmint,spearmint,Herbs and Spices,Herbs
113,Peppermint,peppermint,Herbs and Spices,Herbs
119,Sweet basil,basil,Herbs and Spices,Herbs
122,Sweet marjoram,marjoram,Herbs and Spices,Herbs
124,Common oregano,oregano,Herbs and Spices,Herbs
131,Parsley,parsley,Herbs and Spices,Herbs
137,Anise,anise,Herbs and Spices,Herbs
142,Purslane,purslane,Herbs and Spices,Herbs
158,Watercress,watercress,Herbs and Spices,Herbs
159,Rosemary,rosemary,Herbs and Spices,Herbs
164,Sorrel,sorrel,Herbs and Spices,Herbs
165,Common sage,sage,Herbs and Spices,Herbs
167,Summer savory,summer savory,Herbs and Spices,Herbs
181,Dandelion,dandelion,Herbs and Spices,Herbs
183,Common thyme,thyme,Herbs and Spices,Herbs
186,Fenugreek,fenugreek,Herbs and Spices,Herbs
196,Common verbena,verbena,Herbs and Spices,Herbs
238,Lemon thyme,lemon thyme,Herbs and Spices,Herbs
287,Alfalfa,alfalfa,Herbs and Spices,Herbs
289,Amaranth,amaranth,Herbs and Spices,Herbs
456,Rose hip,rose hip,Herbs and Spices,Herbs
566,Epazote,epazote,Herbs and Spices,Herbs
42,Safflower,safflower,Herbs and Spices,Oilseed crops
86,Sunflower,sunflower,Herbs and Spices,Oilseed crops
101,Flaxseed,flaxseed,Herbs and Spices,Oilseed crops
127,Poppy,poppy,Herbs and Spices,Oilseed crops
170,Sesame,sesame,Herbs and Spices,Oilseed crops
346,Cottonseed,cottonseed,Herbs and Spices,Oilseed crops
797,Canola,canola,Herbs and spices,Oilseed crops
333,Chia,chia,Herbs and Spices,Other seeds
406,Lotus,lotus,Herbs and Spices,Other seeds
450,Quinoa,quinoa,Herbs and Spices,Other seeds
15,Wild celery,celery,Herbs and Spices,Spices
18,Horseradish,horseradish,Herbs and Spices,Spices
39,Capers,capers,Herbs and Spices,Spices
43,Caraway,caraway,Herbs and Spices,Spices
63,Saffron,saffron,Herbs and Spices,Spices
67,Cumin,cumin,Herbs and Spices,Spices
68,Turmeric,turmeric,Herbs and Spices,Spices
74,Cardamom,cardamom,Herbs and Spices,Spices
90,Star anise,star anise,Herbs and Spices,Spices
118,Nutmeg,nutmeg,Herbs and Spices,Spices
139,Pepper (Spice),pepper,Herbs and Spices,Spices
179,Cloves,cloves,Herbs and Spices,Spices
195,Vanilla,vanilla,Herbs and Spices,Spices
206,Ginger,ginger,Herbs and Spices,Spices
219,Ginseng,ginseng,Herbs and Spices,Spices
288,Allspice,allspice,Herbs and Spices,Spices
332,Chervil,chervil,Herbs and Spices,Spices
509,Wasabi,wasabi,Herbs and Spices,Spices
586,Cinnamon,cinnamon,Herbs and Spices,Spices
631,Cheese,cheese,Milk and milk products,Fermented milk products
634,Yogurt,yogurt,Milk and milk products,Fermented milk products
735,Processed cheese,processed cheese,Milk and milk products,Fermented milk products
713,Kefir,kefir,Milk and milk products,Fermented milks
714,Buttermilk,buttermilk,Milk and milk products,Fermented milks
667,Butter,butter,Milk and milk products,Other milk products
669,Cream,cream,Milk and milk products,Other milk products
679,Whey,whey,Milk and milk products,Other milk products
824,Evaporated milk,evaporated milk,Milk and milk products,Other milk products
871,Condensed milk,condensed milk,Milk and milk products,Other milk products
632,Milk (Cow),milk,Milk and milk products,Unfermented milks
11,Cashew nut,cashew nut,Nuts,Nuts
16,Peanut,peanut,Nuts,Nuts
45,Chestnut,chestnut,Nuts,Nuts
93,Black walnut,black walnut,Nuts,Nuts
138,Pine nut,pine nut,Nuts,Nuts
140,Pistachio,pistachio,Nuts,Nuts
148,Almond,almond,Nuts,Nuts
320,Butternut,butternut,Nuts,Nuts
381,Hazelnut,hazelnut,Nuts,Nuts
536,Macadamia nut,macadamia nut,Nuts,Nuts
622,Walnut,walnut,Nuts,Nuts
133,Lima bean,lima bean,Pulses,Beans
197,Broad bean,broad bean,Pulses,Beans
198,Adzuki bean,adzuki bean,Pulses,Beans
200,Mung bean,mung bean,Pulses,Beans
638,Bean,bean,Pulses,Beans
914,Yellow wax bean,yellow wax bean,Pulses,Beans
915,Green bean,green bean,Pulses,Beans
98,Lentils,lentils,Pulses,Lentils
37,Pigeon pea,pigeon pea,Pulses,Peas
47,Chickpea,chickpea,Pulses,Peas
141,Common pea,pea,Pulses,Peas
534,Black-eyed pea,black-eyed pea,Pulses,Peas
744,Popcorn,popcorn,Snack foods,Snack foods
745,Potato chip,potato chip,Snack foods,Snack foods
746,Tortilla chip,tortilla chip,Snack foods,Snack foods
747,Corn chip,corn chip,Snack foods,Snack foods
812,Cracker,cracker,Snack foods,Snack foods
85,Soy bean,soy bean,Soy,Soy
716,Soy sauce,soy sauce,Soy,Soy products
717,Miso,miso,Soy,Soy products
718,Tofu,tofu,Soy,Soy products
761,Soy milk,soy milk,Soy,Soy products
792,Soy yogurt,soy yogurt,Soy,Soy products
809,Soy cream,soy cream,Soy,Soy products
815,Natto,natto,Soy,Soy products
27,Chinese mustard,chinese mustard,Vegetables,Cabbages
31,Cauliflower,cauliflower,Vegetables,Cabbages
32,Brussel sprouts,brussel sprouts,Vegetables,Cabbages
34,Broccoli,broccoli,Vegetables,Cabbages
252,Pak choy,pak choy,Vegetables,Cabbages
253,Napa cabbage,napa cabbage,Vegetables,Cabbages
314,Rapini,rapini,Vegetables,Cabbages
395,Kale,kale,Vegetables,Cabbages
881,Cabbage,cabbage,Vegetables,Cabbages
919,White cabbage,white cabbage,Vegetables,Cabbages
121,Olive,olive,Vegetables,Fruit vegetables
130,Avocado,avocado,Vegetables,Fruit vegetables
171,Garden tomato,tomato,Vegetables,Fruit vegetables
172,Cherry tomato,cherry tomato,Vegetables,Fruit vegetables
174,Eggplant,eggplant,Vegetables,Fruit vegetables
233,Pepper (Capsicum),capsicum,Vegetables,Fruit vegetables
911,Orange bell pepper,bell pepper,Vegetables,Fruit vegetables
25,Common beet,beet,Vegetables,Leaf vegetables
48,Endive,endive,Vegetables,Leaf vegetables
77,Rocket salad (ssp.),rocket,Vegetables,Leaf vegetables
95,Lettuce,lettuce,Vegetables,Leaf vegetables
178,Spinach,spinach,Vegetables,Leaf vegetables
237,Swiss chard,chard,Vegetables,Leaf vegetables
561,Common mushroom,mushroom,Vegetables,Mushrooms
562,Shiitake,shiitake,Vegetables,Mushrooms
567,Oyster mushroom,oyster mushroom,Vegetables,Mushrooms
568,Cloud ear fungus,cloud ear fungus,Vegetables,Mushrooms
583,Chanterelle,chanterelle,Vegetables,Mushrooms
5,Allium (Onion),onion,Vegetables,Onion-family vegetables
7,Leek,leek,Vegetables,Onion-family vegetables
243,Shallot,shallot,Vegetables,Onion-family vegetables
423,Nopal,nopal,Vegetables,Other vegetables
427,Okra,okra,Vegetables,Other vegetables
577,Agave,agave,Vegetables,Other vegetables
28,Swede,swede,Vegetables,Root vegetables
33,Kohlrabi,kohlrabi,Vegetables,Root vegetables
49,Chicory,chicory,Vegetables,Root vegetables
129,Parsnip,parsnip,Vegetables,Root vegetables
153,Radish,radish,Vegetables,Root vegetables
245,Carrot,carrot,Vegetables,Root vegetables
261,Daikon radish,daikon radish,Vegetables,Root vegetables
499,Taro,taro,Vegetables,Root vegetables
520,Jicama,jicama,Vegetables,Root vegetables
21,Asparagus,asparagus,Vegetables,Shoot vegetables
71,Globe artichoke,artichoke,Vegetables,Shoot vegetables
298,Bamboo shoots,bamboo,Vegetables,Shoot vegetables
154,Garden rhubarb,rhubarb,Vegetables,Stalk vegetables
92,Sweet potato,sweet potato,Vegetables,Tubers
175,Potato,potato,Vegetables,Tubers
290,Arrowhead,arrowhead,Vegetables,Tubers
291,Arrowroot,arrowroot,Vegetables,Tubers
328,Cassava,cassava,Vegetables,Tubers
392,Jerusalem artichoke,jerusalem artichoke,Vegetables,Tubers
519,Yam,yam,Vegetables,Tubers
-1,Olive Oil,olive oil,Herbs and Spices,Oilseed crops
-1,Onion Powder,onion powder,Herbs and Spices,Spices
-1,Chicken Broth,chicken broth,Herbs and Spices,Others
-1,Chicken Stock,chicken stock,Herbs and Spices,Others
-1,Beef Broth,beef broth,Herbs and Spices,Others
-1,Beef Powder,beef stock,Herbs and Spices,Others
-1,Cornmeal,cornmeal,Cereals and cereal products,Cereal products
-1,Cornflour,cornflour,Cereals and cereal products,Cereal products
-1,Corn Syrup,cornsyrup,Confectioneries,Other confectioneries
-1,Coconut Oil,coconut oil,Herbs and Spices,Oilseed crops
-1,Coconut Milk,coconut milk,Milk and milk products,Other milk products
-1,Bread Crumbs,bread crumbs,Cereals and cereal products,Other breads
-1,Breadcrumbs,breadcrumbs,Cereals and cereal products,Other breads
-1,Lemon Juice,lemon juice,Beverages,Other beverages
-1,Lemon Zest,lemon zest,Fruits,Citrus
-1,Orange Juice,orange juice,Beverages,Other beverages
-1,Orange Zest,orange zest,Fruits,Citrus
-1,Lemon Rind,lemond rind,Fruits,Citrus
-1,Orange Rind,orange rind,Fruits,Citrus
-1,Lime Juice,lime juice,Beverages,Other beverages
-1,Lime Zest,lime zest,Fruits,Citrus
-1,Lime rind,lime rind,Fruits,Citrus
-1,Mozzarella,mozzarella,Milk and milk products,Fermented milk products
-1,Parmesan,parmesan,Milk and milk products,Fermented milk products
-1,Cheddar,cheddar,Milk and milk products,Fermented milk products
-1,Ricotta,ricotta,Milk and milk products,Fermented milk products
-1,Jack Cheese,jack cheese,Milk and milk products,Fermented milk products
-1,Swiss Cheese,swiss cheese,Milk and milk products,Fermented milk products
-1,Barbeque,barbeque,Baking goods,Baking goods
